Event,Time
LargeStateStart,1710
LittleStateEnd,1710
FireKillGoomba,1714
RightMoveStart,1730
JumpEnd,1742
JumpStart,1762
JumpEnd,1784
RunStateEnd,1789
RightMoveStart,1798
RunStateStart,1799
RightMoveEnd,1801
RightMoveEnd,1812
JumpStart,1821
JumpEnd,1827
StompKillGreenKoopa,1830
JumpStart,1831
JumpEnd,1837
LeftMoveStart,1843
JumpStart,1858
RightMoveStart,1862
RightMoveStart,1866
RunStateEnd,1866
JumpEnd,1868
LeftMoveStart,1872
RightMoveEnd,1875
RunStateStart,1880
JumpStart,1885
JumpEnd,1891
RightMoveStart,1893
RunStateEnd,1895
RunStateStart,1900
LeftMoveEnd,1903
RightMoveEnd,1910
RunStateEnd,1911
RunStateStart,1915
JumpStart,1919
LeftMoveStart,1921
RunStateEnd,1923
RightMoveEnd,1928
JumpEnd,1932
RightMoveEnd,1938
RunStateStart,1943
RunStateEnd,1950
JumpStart,1954
LeftMoveStart,1963
JumpEnd,1964
LeftMoveEnd,1973
RightMoveStart,1989
JumpStart,1998
JumpEnd,2004
LeftMoveStart,2005
RunStateStart,2005
RunStateEnd,2008
RightMoveStart,2014
LeftMoveEnd,2021
LeftMoveEnd,2021
JumpStart,2025
RightMoveStart,2032
JumpEnd,2041
RightMoveEnd,2041
LeftMoveStart,2049
LeftMoveEnd,2055
JumpStart,2056
RightMoveEnd,2056
RightMoveStart,2059
JumpEnd,2066
JumpStart,2077
LeftMoveStart,2082
LargeStateEnd,2083
RightMoveEnd,2087
RunStateStart,2099
LeftMoveEnd,2102
RightMoveEnd,2104
RightMoveStart,2104
RunStateEnd,2114
JumpEnd,2115
RightMoveStart,2117
JumpStart,2119
RightMoveStart,2119
RightMoveStart,2121
RightMoveEnd,2122
RightMoveStart,2123
RightMoveEnd,2124
RunStateStart,2126
RightMoveEnd,2131
JumpEnd,2135
JumpStart,2136
LeftMoveEnd,2136
RunStateEnd,2142
RunStateStart,2147
JumpEnd,2149
RunStateEnd,2151
RightMoveEnd,2161
RunStateStart,2162
RunStateEnd,2166
RunStateStart,2169
JumpStart,2179
RunStateEnd,2181
JumpEnd,2189
JumpStart,2206
RunStateStart,2220
JumpEnd,2222
RightMoveEnd,2236
JumpStart,2289
JumpEnd,2298
RightMoveStart,2298
JumpStart,2316
RightMoveStart,2319
JumpEnd,2330
JumpStart,2332
RightMoveStart,2336
JumpEnd,2342
JumpStart,2345
RightMoveStart,2346
